un / une	a / an / one	1	3ddaf0ef9f927195d42049a66d381714	J’ai vu une femme à l’hôpital; un de ses bras était cassé.
à	to	1	76ba5492a6ddd9b86c84aacfc69f816e	Je vais à Paris avec mes parents et ma petite soeur cet été.
en	in / by	1	cc00e3b66d89978ef45bc30cb73a2d3d	L’an prochain, je serai en Irlande. J’irai en train.
le / la	the	1	3789b21403dd6ced7a2f049ab929e357	Je veux adopter le chat et la lapine que nous avons vus au refuge.
et	and	1	6e81787944e04178a821d094bd6517ef	Nous sommes faits pour être ensemble, toi et moi.
être	to be	1	be1deb0a66fa8932d74eb3dc4eec5fb0	Pas besoin d’être un champion du monde pour s’amuser au golf.
de	from	1	ee1b2c59a851ed4eba896b0a34e69dd7	La grand-mère de mon père venait de Pologne.
avoir	to have	1	8000c4a836b285de83a0c04df2ab3a47	Il est difficile d’avoir du temps pour soi quand on travaille trop.
que	that / who / whom	1	fc2c0df1cc0eb118866c840f01e154c4	La jchne fille que j’ai rencontrée hier était enseignante.
ne	not	1	4e7888e4eba09ba5b26465c70924bb2f	Je ne crois pas que tu aies fait le bon choix.
dans	in / into	1	47182a6c0f4e53dbc011376d95831825	J’ai mis une bouteille d’eau dans ton sac à dos.
ce / cette	this / that	1	b7f7d736168d8ad98f17e04b79ef95cf	Ce nouveau magasin vient d’ouvrir de l’autre côté de la rue.
il	he / it	1	4e882eeced919ea1b97c46ba6e6a591d	Il m’a dit qu’il était déjà huit heures.
qui	who / whom	1	79ff447ba6643c4aaa93ca0cb3ae2197	Qui a mangé la dernière part de gâteau?
pas	not / -n’t	1	b80e4b72d382b9c4277eaf9b0d8dc10e	Le concert commence à dix-neuf heures, ne sois pas en retard.
pour	for	1	bf143742636d0f260a872a3f8ee10a1a	J’ai acheté un bouquet de roses pour ma mère, ce sont ses fleurs preferés.
sur	on	1	c4974ec4fc6e04f183916e5eb25c08a9	Pose les assiettes sur la table et assieds-toi.
se	himself / herself / themselves	1	e32aabac36928ecb45fdf4632cf29f8b	S’il continue à être aussi imprudent, il va se blesser.
son	his / her / its	1	ee39e8357cdaadc838a96a8281816da3	Elle a invité son mari au restaurant pour la St-Valentin.
plus	more / no more	1	19c4429ef96d6f9b915541ee1bf19952	Jacques vourait plus de salade de fruit, mais il n’en reste plus.
pouvoir	can / to be able to	1	6295e911359e24a3a42b28c2a6ad14d5	Le fait de pouvoir dormir tard le dimanche matin me rend heureux.
par	by	1	0e62d832c5c2c6e7b668a32aca3ea90e	Connais-tu la chanson Une Colombe par Céline Dion?
je	i	1	ebf57572dccb1b58e4cec50da934c4cf	Je crois que ma mère est la femme la plus respectable au monde.
avec	with	1	ca358e0f9dfb1ea4cdd849ef6f02255e	Je suis trop timide pour lui demander d’aller au cinéma avec moi.
tout	all	1	1d8ccf8aa5105e3b03e52003fc785349	J’ai reçu tout ce que je voulais pour mon anniversaire.
faire	to do / to make	1	c527c6496a030d146aa5697651ac0082	Pierre ne fait jamais à dîner, je dois tout faire moi-même.
nous	we / us	1	d8f6e88779c6dbd299e99cc0c9e2a129	Nous croyons que tu devrais nous accompagner à la fête ce soir.
mettre	to put	1	b0ad5620da6f560a80374fd64587fd24	Va mettre ton assiette dans le lave-vaisselle quand tu as fini.
autre	other	1	f6397f98a4e65732bee2545b2b1847f7	Sa voiture ne fonctionne plus, elle doit en acheter une autre.
on	we / one	1	57e2a9ef111f3da13b0e2b1242ea0900	On va tous chez Sara! On pourrait dire qu’elle sait faire la fête!
mais	but	1	3a43619de659f2ba28b88ba0e3dbaaa0	Elle était réellement une femme forte, mais elle était si fatiguée.
leur	their	1	fb275d78aba06ccce9bf6ce0e1b15d2a	Cette troupe de théâtre est incroyable, as-tu vu leur dernière pièce?
comme	like	1	0bf06efe589caf5507624ba2748503ff	Lorsque je serai grande, je ne veux pas être comme ma mère.
ou	or	1	c1bf4d2db15e5030e35bfa0c5301b3f7	Quelle saveur préfères-tu : chocolat ou vanille?
