une égalité	equality	10	96c107178efc812945c02f8ceff1731c	L'egalite entre tous les citoyens reste un principe fondamental de notre republique.	Ils prônent l'égalité des chances pour tous.
une tenue	an outfit	10	bdb05753474c93ce097f75b30e3299b3	Mon mari porte toujours la meme tenue de jardinage tous les samedis.	Elle a choisi une tenue élégante pour la soirée.
animer	to liven up	10	f8d59ccac7f86d79f94aa17ad1019419	Mon frere sait vraiment animer toutes les fetes de famille avec ses blagues.	Elle a réussi à animer la discussion lors de la réunion.
une norme	a norm	10	8448cc89a3ba806cf920ec6ad1c72a91	Cette norme europeenne s'applique a tous les jouets vendus dans nos magasins.	Cette norme de sécurité doit être respectée à tout moment.
une piste	a trail	10	fd10fb9b792a97a4b9ebf79c3fc5e82c	Mon fils suit une piste de ski difficile dans les Alpes ce week-end.	Ils suivent une piste prometteuse dans leur enquête.
préserver	to preserve	10	a8f450afe8893edec34d8805667a3ec3	Il faut absolument preserver ce vieux chateau medieval contre les degats de la pluie.	Il est essentiel de préserver la biodiversité.
un hommage	a tribute	10	7b849dadb5db075b5752759f98b29f56	Mon village a rendu un bel hommage aux soldats tombes pendant la guerre.	Ils ont rendu un vibrant hommage aux victimes de l'accident.
inférieur / inférieure	inferior	10	cebcce8fdf2131e8b872d07db565ff43	Mon nouveau bureau est de qualite inferieure a celui de mes collegues.	Son salaire est légèrement inférieur à la moyenne du secteur.
un match	a game	10	ecbdc935f5682680bc254db152b1d815	Mon fils a marque trois buts pendant le match de samedi apres-midi.	Le match de football a été très disputé jusqu'à la fin.
une statistique	statistics	10	fb6fc8c68e227a3e5a461347e65fc15b	Cette statistique sur l'emploi des jeunes m'inquiete vraiment beaucoup pour mes enfants.	Les statistiques montrent une amélioration significative.
gouvernemental / gouvernementale	governmental	10	cca2c38a1b9d6789f104af0969bce75b	Cette nouvelle politique gouvernementale va vraiment changer notre quotidien dans les semaines qui viennent.	Il travaille pour une agence gouvernementale.
exécuter	to carry out	10	beb9e17ae0f12bb17e9cad469a8772e3	Mon collegue va executer toutes les commandes du client important demain matin.	Il a été chargé d'exécuter les ordres du directeur.
une tragédie	a tragedy	10	2e7a9b84aeac993914c5abf28e9e1ffc	Cet accident sur l'autoroute a ete une vraie tragedie pour la famille touchee.	La perte de leur fils a été une véritable tragédie pour la famille.
la distribution	distribution	10	ce32f6127a4fec9a17984db4e0b22edc	La distribution gratuite de masques a vraiment aide pendant la crise sanitaire mondiale.	La distribution des journaux se fait tôt le matin.
un scandale	a scandal	10	771da858eb8d85d1f9904f88e3f9804f	Ce scandale financier a vraiment ebranle la confiance des epargnants dans cette banque.	Le scandale a secoué le monde politique.
la pointe	the tip	10	91a85075dbb08b8485a532f64120b56a	Mon fils a casse la pointe de son crayon en appuyant trop fort.	Il a marché jusqu'à la pointe de l'île pour voir les vagues se briser.
chinois / chinoise	Chinese	10	df38adad8ce372fcf70a5f465fa2432c	Mon ami chinois m'a appris a preparer les meilleurs raviolis a la vapeur.	Elle a étudié la calligraphie chinoise pendant des années.
un bénéfice	a benefit	10	f32cd87ed1f8be810d86cfe0945b5055	Cette boutique offre un beau benefice fiscal sur les achats de produits artisanaux.	L'entreprise a enregistré un bénéfice nettement supérieur aux prévisions.
un billet	a ticket	10	85e5350cf8d82ee0ae4b7237fb37f2c7	Mon fils a perdu son billet de train juste avant de monter a bord.	Il a acheté un billet pour le prochain vol à destination de Pékin.
un choc	a shock	10	a27de505966c899c7231ee880f889315	L'annonce du divorce de mes parents fut un veritable choc pour toute la famille.	La nouvelle de son départ a été un choc pour toute l'équipe.
une proportion	a proportion	10	b269a4809fd105f6b88fd5918d804aaf	Une grande proportion des eleves de notre college vient des villages voisins.	Seule une petite proportion des participants a réussi l'épreuve difficile.
irakien / irakienne	Iraqi	10	7dfd33a61c3e541c65d312921a1f0700	Mon ami irakien organise un grand diner traditionnel chez lui samedi prochain.	Ils ont invité un diplomate irakien à la conférence internationale.
briser	to break	10	c2fa6de211ea5a63731d7c45f22891f6	Mon fils a casse son nouveau jouet en moins d'une heure ce matin.	Le bruit du verre brisé a résonné dans tout l'appartement.
la destruction	destruction	10	3781525d87d2d4d846bd7645c4d95711	La destruction de cette belle foret pour construire un parking m'a vraiment desolee.	Les images de la destruction causée par l'explosion étaient terrifiantes.
reculer	to back up	10	86666d39eca7af4b8ee13c93b7b93802	Le conducteur a du reculer plusieurs fois pour pouvoir se garer correctement.	Il a dû reculer pour laisser passer l'ambulance.
un critère	a criterion	10	696cc9aa7e6f0bfed3ad22aa569a60db	Le critere principal pour selectionner les candidats reste leur experience professionnelle anterieure.	La fiabilité est un critère essentiel dans le choix de nos partenaires commerciaux.
gardien / gardienne	guard / guardian	10	4065e6d044df45b1a12ae68e3309fd91	Le gardien du parc municipal connait tous les enfants du quartier par leur prenom.	Le gardien du musée a accueilli les visiteurs avec un sourire chaleureux.
une adresse	an address	10	ce1ae253c695b1bf4c454ece9f79e82d	Tu peux noter mon adresse sur cette enveloppe pour me l'envoyer.	Elle a noté son adresse sur une carte postale avant de l'envoyer.
un canal	a channel	10	3d881fe4b240290cc5318dd36d0e2e96	Cette emission diffusee sur le canal local intereresse vraiment toute notre famille.	Le canal traverse la ville et offre des promenades pittoresques.
conservateur / conservatrice	conservative	10	1e1d80503bd874e903f0d863792f6dad	Mon grand-pere a toujours vote pour le parti conservateur lors des elections nationales.	Il est conservateur et préfère les méthodes traditionnelles.
transporter	to carry	10	7f36aa750fd651b219e9b122cdab507b	Le demenageur va transporter tous nos meubles vers notre nouvelle maison demain.	Les camions sont utilisés pour transporter les marchandises vers le port.
brûler	to burn	10	002983f89275be934d9c006166120a00	On va faire bruler les vieilles branches du jardin samedi en fin d'apres-midi.	Le feu a commencé à brûler dans la cheminée, réchauffant la pièce.
une manœuvre	a manoeuvre	10	e136e1b7f84411e22b11c2371d30d7fd	Cette manoeuvre de stationnement etroite m'a pris vraiment plus de cinq minutes.	Le capitaine a dirigé habilement la manœuvre pour amarrer le navire.
la monnaie	the change	10	58d74cf1a49f0dd27ca63da62ca94329	Mon fils collectionne les pieces de monnaie etrangeres depuis qu'il est tout petit.	Elle a reçu la monnaie exacte après avoir payé avec un billet de vingt euros.
la réception	the reception / the front desk	10	9d55580325b13760738627477fd8b513	La reception de l'hotel reste ouverte vingt-quatre heures sur vingt-quatre.	Elle a attendu à la réception de l'hôtel pour récupérer sa clé de chambre.
quelconque	any	10	88926ed94a6816c5481911a742c9d470	Donne-moi un livre quelconque, j'ai oublie le mien dans le train.	Il a pris une voiture quelconque pour rentrer chez lui.
le courrier	the mail	10	c428ae99faed42c30421a2bd6dc49867	Le facteur depose le courrier dans notre boite aux lettres tres tot le matin.	Le facteur a livré le courrier tôt ce matin.
grandir	to grow	10	62cde966288d8a46ec142bc6aad4b54d	Mon neveu a beaucoup grandi pendant les vacances d'ete en Bretagne.	Les enfants grandissent si vite qu'il faut souvent acheter de nouveaux vêtements.
élaborer	to elaborate	10	6287efa8e4a3d62c3afd34d10702eba5	Le maire veut elaborer un plan ambitieux pour renover toutes les ruelles du village.	Le chef a élaboré une nouvelle recette de dessert pour le menu du soir.
un doigt	a finger	10	c94fb41a7f17c32479137344b66db35b	Mon fils s'est coupe le doigt en pelant une pomme pour le dessert.	Elle a montré la blessure à son doigt après s'être coupée en cuisinant.
illustrer	to illustrate	10	702faf09c034ed33f57aeba3b2a89f58	Cette photographie va parfaitement illustrer notre prochain article sur la biodiversite locale.	Ce graphique illustre bien la croissance de l'entreprise.
une poche	a pocket	10	3a0e4a9519421638532c57849980a1dd	Mon fils a trouve une vieille piece de monnaie dans la poche de son manteau.	Il a rangé ses clés dans la poche de son manteau.
la transmission	transmission	10	a3f25b583fd4b4e0eac26377ec26b173	La transmission orale des contes anciens reste vivace dans notre region rurale.	La transmission des données est sécurisée grâce à un protocole crypté.
éclater	to burst	10	107e51c6de5cd2cd79fb1fb912d7148f	Une bouteille de cidre vient d'eclater dans la cave du grand-pere.	Les feux d'artifice ont commencé à éclater dans le ciel nocturne.
la honte	the shame	10	d673294a5e82514f3006b0220058cdba	Mon frere a ressenti une grande honte apres avoir manqué a sa parole.	Il a ressenti une profonde honte après avoir commis cette erreur publiquement.
une faiblesse	a weakness	10	3cb254a52335d99dcc94969a08d752c7	Ma seule faiblesse reste les chocolats noirs aux noisettes de mon enfance.	Sa faiblesse pour le chocolat l'empêche de suivre un régime strict.
une fédération	a federation	10	867664d2f88c44d40eec1035e5eaedb2	La federation francaise de natation organise les championnats nationaux a Strasbourg.	La fédération sportive organise des compétitions nationales chaque année.
presser	to squeeze	10	132a8934295804466e5520577a091ffb	Tu peux presser une orange pour faire un jus frais au petit dejeuner.	Elle a dû presser le bouton plusieurs fois avant que la porte ne s'ouvre.
affronter	to face	10	ed57cc27464d7f72cac74153b05071dd	Mon fils va devoir affronter plusieurs grands defis pendant son annee scolaire.	Ils doivent affronter de nombreux défis avant de réussir.
le bonheur	happiness	10	1a1e129ea045c04e72957092f423c280	Le bonheur de mes enfants reste vraiment ma plus grande priorite quotidienne.	Le bonheur se trouve souvent dans les petites choses de la vie.
formuler	to formulate	10	28079e6d586d7758322947299920bc43	Mon avocat va formuler une nouvelle proposition au tribunal la semaine prochaine.	Il a dû formuler sa demande avec précision pour obtenir une réponse favorable.
crier	to shout	10	3194692e50356da6085db65e3a47317a	Mon fils a entendu son grand-pere crier dans le jardin tout a l'heure.	Il a dû crier pour se faire entendre au-dessus du bruit de la foule.
la pauvreté	poverty	10	90040c22e16a4d1fe9a3895f129ff267	La pauvrete reste un probleme important dans certaines regions oubliees du sud.	La lutte contre la pauvreté est une priorité pour de nombreuses organisations.
un bâtiment	a building	10	5d578d881c3b6f467241326257ca64e0	Ce vieux batiment communal va etre transforme en centre culturel l'an prochain.	Ils ont visité un bâtiment historique datant du XVIIIe siècle.
époux / épouse	spouse	10	d7df19c2a47002a899c48a6c8118b0fe	Mon mari et moi formons un couple soude depuis plus de quinze ans.	Ils ont célébré leurs noces d'or en tant qu'époux et épouse.
se mêler	to meddle	10	c0c474eb4f2f61187c766dc1d79dec1b	Mon frere veut toujours se meler des affaires personnelles de toute la famille.	Il ne faut pas se mêler des affaires des autres sans permission.
une firme	a firm	10	49796fbbb544c231a8c8ed1bf17ea7c8	Cette firme britannique vient d'ouvrir un bureau a Paris la semaine derniere.	La firme d'architecture a remporté le contrat pour concevoir le nouveau complexe.
