der Kredit	credit, loan	6	fe8fecc5ade801a497129181fab83675	Der Kredit, den er bei der Bank aufgenommen hatte, hätte zu günstigeren Konditionen vergeben werden können.	Er hat einen Kredit aufgenommen.
die Zinsen	interest (financial)	6	6ce17f597355325ffeb1854efd640f78	Die Zinsen, die auf das Sparguthaben gezahlt werden, hätten höher sein können.	Die Zinsen sind sehr niedrig.
eintreten	to enter, to occur	6	b954d427c7d8edc48d77106f23b89ab8	Obwohl er nicht erwartet hätte, dass dieses Ereignis jemals eintreten würde.	Bitte eintreten und Platz nehmen.
austreten	to step out, to resign	6	c68a8010d0f9396d2c36159f8c764a04	Nachdem er aus dem Verein hatte austreten müssen, fühlte er eine seltsame Mischung aus Erleichterung und Bedauern.	Er will aus dem Verein austreten.
hinaufgehen	to go up	6	7a7cec60542088122940ee69f8f7a662	Obwohl die Treppe so steil war, dass kaum jemand hätte hinaufgehen wollen, stieg sie mutig die Stufen empor.	Wir müssen die Treppe hinaufgehen.
hinuntergehen	to go down	6	2a3d7245fac677d56d893bbfceab031d	Den schmalen Pfad hinuntergehen zu müssen, wäre weniger gefährlich gewesen.	Gehen wir den Hügel hinunter.
überqueren	to cross	6	91b91640fef684e030cd53fef862ed80	Die Straße, die sie jeden Morgen überqueren musste, hätte sicherer gemacht werden können.	Wir müssen die Straße überqueren.
umdrehen	to turn around	6	2a24785350898375e5f12a288ec40de3	Hätte er sich früher umdrehen können, hätte er den alten Freund erkannt.	Dreh dich bitte um!
sich bewegen	to move	6	437f437f78cba2524ffa2ace3f446e46	Obwohl der Arzt ihm geraten hatte, sich mehr zu bewegen, konnte er wegen seiner Knieverletzung kaum spazieren gehen.	Du musst dich mehr bewegen.
anhalten	to stop, to halt	6	a86f313c50c47543d1725ac97e9c0609	Der Bus, der an der Haltestelle hätte anhalten müssen, fuhr einfach vorbei.	Der Bus wird gleich anhalten.
beschleunigen	to accelerate	6	81de30b3430d5928bae94d04bff5f70b	Wenn man den Prozess hätte beschleunigen wollen, hätte man mehr Mitarbeiter einstellen müssen.	Das Auto kann schnell beschleunigen.
